Item Description,GTIN,Pack Type,Price,UOM,Category
LID PLAS CLR F/30 OZ PULP RECT,10734730615049,6/50 CT,$91.20,CS,CONTAINERS PAPR
LID PLAS CLR FLT W/SLT 12-24OZ,00734730204840,12/85CT,$42.34,CS,CUPS PLASTIC
LID PLAS CLR PET DOME,00074865468848,36/16 IN,$33.90,CS,PLATTERS PLAS
LID PLAS CLR PET DOME,00074865468855,36/18 IN,$42.12,CS,PLATTERS PLAS
LID PLAS CLR PET DOME 160 OZ,00074865913850,1/50 CT,$45.76,CS,BOWLS PLAS
LID PLAS CLR PET DOME 80 OZ,00074865913836,1/50 CT,$26.35,CS,BOWLS PLAS
LID PLAS CLR PET FLAT F/320 OZ,00074865736664,1/25 CT,$35.92,CS,BOWLS PLAS
LID PLAS CLR X-SLOT 12&20 GRNW,00049202012107,10/100 CT,$46.89,CS,CUPS PLASTIC
LID PLAS CLR X-SLOT 16/24OZ,00049202012114,1000/EACH,$47.01,CS,CUPS PLASTIC
LID PLAS DOME 9/12/20Z W/HOLE,00049202013173,1000/EACH,$73.29,CS,CUPS PLASTIC
LID PLAS DOME BLK 12/16 HOTCUP,00078731989055,10/100 CT,$48.97,CS,CUPS PAPER
LID PLAS DOME CLR MCRWVBL,00734730020211,500/5 IN,$57.85,CS,BOWLS PLAS
LID PLAS DOME F/SMRTLK TRAY CL,00074865930734,25/12 IN,$29.55,CS,TRAYS ALUM
LID PLAS DOME NO HOLE 9/12/20,00049202013791,1000/EA,$73.85,CS,CUPS PLASTIC
LID PLAS DOME W/HOLE F/16OZ,00049202013180,1000/EACH,$73.50,CS,CUPS PLASTIC
LID PLAS F/ 2 OZ GRNWARE,00049202014743,2000/CT,$51.66,CS,CUP PORTION PLS
LID PLAS F/ 3.25-5.5 OZ PORTN,00041165277456,20/125CT,$39.59,CS,CUPS PLASTIC
LID PLAS F/6/8/12/16 OZ CUP,00041594201787,10/100 CT,$37.18,CS,CUPS FOAM
LID PLAS F/8/16/32OZ CONTNR,00696599505004,480/EA,$53.65,CS,CONTAINERS PLAS
LID PLAS FLAT TRANS F/CLD CUP,50794297872307,10/100 CT,$23.34,CS,CUPS PLASTIC
LID PLAS GRNWRE FLAT 12/20,00049202016778,10/100,$56.14,CS,CUPS PLASTIC
LID PLAS LOCK & STRAW 12-24OZ,00041594200995,10/100CT,$27.97,CS,CUPS FOAM
LID PLAS MED PORTION 2 OUNCE,00041594074558,20/125 CT,$27.49,CS,CONTAINERS PLAS
LID PLAS SLOT F/12/16/24Z CUP,00049202022724,10/100CT,$32.01,CS,MISC.
LID PLAS STRAW SLOT 12-24OZ,00041594200155,10/100CT,$26.35,CS,CUPS FOAM
LID PLAS STRAW SLOT 12-24oz,521205,,$20.00/$2.00,Case/Sleeve,
LID PLASTIC DME WHT LHRDS-16,50794297871430,12/100 CT,$57.34,CS,CUPS PAPER
LID PLASTIC FLAT NO HOLE,00049202016785,1/1000CT,$56.25,CS,MISC.
LID TOGO PLAS WHT F/8/12/16,00024502109344,20/50CT,$76.35,CS,FOOD  NO LID
LINER PAN ARTISAN UNBLCH NATRL,10072181300252,1000/16X24,$58.95,CS,LINER PAN QUILL
LINER PAPER PAN QUILON,10078731700084,1000/16X24,$56.83,CS,LINER PAN QUILL
LINER REPRO 40X46 1.5 ML BLK,00074865988223,100/40-45G,$43.87,CS,FLAT FOLDED
LINER TRASH 24X32 .7 ML CLR,00074865299244,500/12-16G,$55.45,CS,FLAT FOLDED
LINER TRASH 38X58 1.5 ML CLR,00074865644273,100/60 GAL,$79.58,CS,FLAT FOLDED
LINER TRASH 40X46 1.1 ML CLR,00074865177313,125/40-45G,$48.70,CS,FLAT FOLDED
Microsoft Hot Cup,50794297955352,1/1000 ct,$96.21,CS,Paper Cups
NAPKIN BEV 1/4F 1P WHT,10073310960194,8/500CT,$25.12,CS,BEVERAGE
NAPKIN DINNER 1/4-F 1P WHT,10073310362028,8/500 CT,$65.71,CS,DINNER
NAPKIN DINNER 16X15 2P 1/8 WHT,10073310344406,24/126 CT,$59.86,CS,15X16 MULTI WHT
NAPKIN DISP 13X12 1PLY UNBLEAC,10073286610307,12/500 CT,$40.60,CS,FULLFOLD
NAPKIN DISP 13X12 MSTR FLD,10073286610260,12/500 CT,$42.24,CS,FULLFOLD
NAPKIN DISP XPRESSNP NAT,10073286616170,12/500 CT,$50.14,CS,INTERFOLD
Napkin White and Print,00037000965954,8/200 ct,$31.23,CS,Napkins
PAN FOIL RND W/LAM BRD LID,00734730204277,200/7 IN,$41.59,CS,ROUND
PAN FOIL STM TBL DEEP 3-5/16,00016194061420,200/THIRD,$104.70,CS,STEAM TABLE
PAN FOIL STM TBL DEEPXH 2-9/16,00734730204482,100/HALF,$47.92,CS,STEAM TABLE
PAN FOIL STM TBL FULL DP 3-3/8,00734730198491,40/FULL,$53.47,CS,STEAM TABLE
PAN FOIL STM TBL MED 2-3/16,00016194050226,40/FULL,$54.09,CS,STEAM TABLE
PAN FOIL STM TBL MED HVY 2.25,00016194050981,100/HALF,$52.32,CS,STEAM TABLE
Pandana Coke lids,521204,1/1,$32.87,Case,
PAPER PATTY 5.5X5.5,10787074000460,1/1000CT,$7.40,EA,PATTY PAPER
PICK BAMBOO FRILL 3 IN,10738101140086,1/1000CT,$4.51,EA,FRILL PICK REG
Plate Paper 10  White Ultra,10078731940688,4/125 ct,$72.09,CS,Non-Foods
PLATE PLAS BLK 6 RGD CLSWR,00734730033945,10/18 CT,$62.76,CS,PLATES
PLATE PLAS CLR 7.5 RGD CLSWR,00734730033839,10/18 CT,$91.06,CS,PLATES
