Item Description,GTIN,Pack Type,Price,UOM,Category
COFFEE CAPP FRCH VAN,00028000990190,6/2 LB,$72.23,CS,CAPP MX BULKBAG
Coffee Caramel Draft Latte,00604913004997,12/11 oz,,CS,Aseptic Drinks
Coffee Choc Dark Hazelnut KCup,10611247391409,4/24 ct,$66.80/$16.70,CS/BX,Single Cup (ex:Kcup)
Coffee Cinn Sugar Cookie K cup,10611247358143,4/24 ct,$66.80/$16.70,CS/BX,Single Cup (ex:Kcup)
Coffee Cinnamon Honey Drizzle,10611247401566,4/24 ct,$61.05/$15.26,CS/BX,Single Cup (ex:Kcup)
Coffee Classic Black OvrIceKCp,10611247390273,4/24 ct,$60.73/$15.18,CS/BX,Single Cup (ex:Kcup)
Coffee Classic Roast,10025500304011,6/9.6 oz,,CS,Vend Reg Coffee
Coffee Classic Roast KCup,10025500774562,4/24 ct,$63.13,CS,Single Cup (ex:Kcup)
Coffee Conc 1850 Horizon Blnd,10025500745975,2/1.25 lt,$162.20,CS,Vend Reg Coffee
Coffee Decaf Kcup,10611247403171,4/22/.37 oz,$72.39,CS,Single Cup (ex:Kcup)
COFFEE DECAF RISTRETTO AMB,00028000720919,4/250GM,$85.31,CS,FREEZE DRIED
Coffee Decf Clsc FP,00025500061221,40/.9 oz,$38.32,CS,Decaf Coffee
Coffee Decf Colmbn 100  Liquid,10025500622085,2/1.25 ltr,$151.87,CS,Decaf Coffee
Coffee Decf DonutShop K cup,10611247374013,4/24 ct,$66.80,CS,Single Cup (ex:Kcup)
Coffee Decf Ground Pike Place,40762111967815,6/1 lb,$102.21,CS,Decaf Coffee
Coffee Decf House Blnd,10785357000237,6/18/2.5 oz,$255.29/$42.55,CS/BX,Decaf Coffee
Coffee Decf Portside Smooth,40012919006286,4/18/2 oz,$105.98/$26.50,CS/BX,Decaf Coffee
Coffee Decf Stick,00028000664886,6/80/1.7 gm,$116.58,CS,Decaf Coffee
Coffee Decf VTCntryBd K cup,10099555076025,4/24 ct,$66.80,CS,Single Cup (ex:Kcup)
Coffee Domingo Whole Bean,10785357007571,20/1 lb,$256.50,CS,Vend Reg Whole Bn
Coffee Energy Doubleshot Can,10012000028486,12/15.5 oz,$28.99,CS,Bottled Drinks
Coffee Enrgy Van Dblshot Can,20012000028490,12/15.5 oz,$28.99,CS,Bottled Drinks
Coffee Espresso Forte WB,10785357821306,20/1 lb,$256.50/$12.83,CS/BX,Vend Reg Whole Bn
