Item Description,GTIN,Pack Type,Price,UOM,Category
DOUGH COOKIE CHOCOLATE CHIP,10013087581000,320/1 OZ,$49.70,CS,RAW DGH-PIECES
DOUGH COOKIE OATMEAL RSN,10013087588030,240/1.33OZ,$77.63,CS,RAW DGH-PIECES
DOUGH COOKIE OATMEAL RSN,10013087581031,320/1 OZ,$51.48,CS,RAW DGH-PIECES
DOUGH COOKIE OTML RSN XXL GRMT,00049800160248,60/5 OZ,$73.16,CS,RAW DGH-PIECES
DOUGH COOKIE PEANUT BUTR,10013087581055,320/1 OZ,$52.99,CS,RAW DGH-PIECES
DOUGH COOKIE RANGER VEGAN,10681400387327,210/1.5OZ,$61.58,CS,RAW DGH-PIECES
DOUGH COOKIE SUGAR BUTTER,10013087588047,240/1.33OZ,$65.95,CS,RAW DGH-PIECES
DOUGH COOKIE SUGAR XXL,00049800159952,60/5OZ,$76.78,CS,RAW DGH-PIECES
DOUGH COOKIE TRIPLE CHOC,00049578440061,80/4.5 OZ,$81.75,CS,RAW DGH-PIECES
DOUGH CROISSANT BTR PINCHED,10721582134453,48/3.75OZ,$53.70,CS,BUTTER DOUGH
DOUGH CROISSANT BTTR MINI RTB,03419280022904,225/0.9 OZ,$89.87,CS,BUTTER DOUGH
DOUGH CROISSANT BUTTER LG CHOC,00878530000711,105/2.88OZ,$139.60,CS,BUTTER DOUGH
DOUGH CROISSANT CHOC SWRL,00721582133732,60/3 OZ,$55.54,CS,BUTTER DOUGH
DOUGH CROISSANT CHOC SWRL,00721582133749,80/1.5 OZ,$54.33,CS,BUTTER DOUGH
DOUGH CROISSANT MINI STR BTR,05413056035363,200/1 OZ,$71.06,CS,BUTTER PRPRF&RA
DOUGH DANISH MINI SELECTION,00700998805310,120/1.5 OZ,$49.16,CS,DANISH DOUGH
DOUGH PASTRY PUFF SHEET,10094562051232,20/12 OZ,$68.06,CS,PUFF PASTRY DGH
DOUGH PIZZA SELF RISE 12IN FTO,00049800073661,24/16.6OZ,$54.86,CS,RAW CRUST FRMD
DOUGH PIZZA SELF RISE 16IN,00049800036048,20/16 IN,$69.71,CS,RAW CRUST FRMD
DOUGH PIZZA SELF RISE 7IN FTO,00049800073869,72/6.6 OZ,$62.88,CS,RAW CRUST FRMD
DOUGH PIZZA SHEETED 12X16,00049800353008,22/24 OZ,$56.91,CS,RAW CRUST FRMD
