Item Description,GTIN,Pack Type,Price,UOM,Category
POTATO FRY 1/4 SS XL,10072714240017,6/4.5 LB,$48.94,CS,EXTRA LONG FNCY
POTATO FRY KK 1/2 OVNRDY,10072714900553,6/5LB,$39.67,CS,OVEN RDY/PACKR
POTATO FRY SKON 5/16,10072714002363,6/5LB,$44.80,CS,FRENCH FRIES
POTATO FRY SKON WAFFLE RED,10072714936231,6/4.5 LB,$42.78,CS,ASST SHAPES
POTATO FRY SPICY SPIRAL,10072714936224,6/4 LB,$44.87,CS,"COIL,CURLY Q,TW"
POTATO FRY SURECRISP BTR,10072714001724,6/5 LB,$52.67,CS,SEASOND/COATD
POTATO FRY SWEET 3/8IN XL HRSP,10072714937252,6/2.5 LB,$35.91,CS,EXTRA LONG FNCY
POTATO FRY SWEET 5/16,10072714937313,6/2.5 LB,$33.34,CS,MISC.
POTATO H/BRN CUBE BRKFST SKON,10072714193023,6/5 LB,$55.06,CS,DICED SKINON/OF
POTATO H/BRN IQF LOOSE SHRED,10072714002240,6/3LB,$24.21,CS,SHREDDED LOOSE
POTATO H/BRN TRIANGLE 2 OZ,10734730627745,6/5 LB,$56.32,CS,"TRNGL,WDG,H BRN"
POTATO HASHBROWN SKIN ON DICE,10072714003353,6/6LB,$63.61,CS,CHUNKS
POTATO MASH CREAMY DELUXE BAG,10889356032616,4/6 LB,$49.90,CS,MASHED
POTATO MASHED SWEET,10020169177006,4/6 LB,$37.15,CS,MASHED
POTATO PEARL XRICH LOW SODIUM,10011140818377,6/3.55LB,$68.64,CS,INSTANT
POTATO REDSKIN FLM RSTD & VEGS,10071179791768,6/2.5 LB,$32.07,CS,STUFFED
POTATO ROASTED BABY BAKERS WHL,10071179000488,6/2.5 LB,$36.51,CS,WHOLE BAKERS
POTATO SCALLOPED CLS CASSROLE,10734730205431,6/2.25LB,$68.09,CS,SCALLOPED
POTATO SKIN 200 CT,10072714036023,4/4.25LB,$44.85,CS,"SKINS,BOATS,SHL"
POTATO SWEET RSTD W/MAPLE SEAS,10071179707561,6/2.5 LB,$44.04,CS,CHUNKS
POTATO SWEET TATER PUFF,10044979120946,6/2.5 LB,$40.01,CS,"BARL,PUFF,TOT,G"
POTATO TATER TOT VERSITOT,10072714002158,6/5LB,$47.54,CS,"BARL,PUFF,TOT,G"
POTATO WEDGE SEASONED 8CUT,10072714000949,6/5 LB,$47.29,CS,SEASOND/COATD
QUICHE ASSORTED MINI 466,00745378466002,200 / 1 OZ,$162.72,CS,PREPARED FOODS
Reese s Ice Cream PB Cup,10041000245722,24/3.3 oz,$25.59,CS,Ice Cream Products
SMOKED BRISKET PICADILLA EMPANADA K7159,00745378715902,100 / 0.95 OZ,$134.88,CS,PREPARED FOODS
Smoothie Mango,00813993002261,12/9 oz,$29.84,CS,Miscellaneous
