Item Description,GTIN,Pack Type,Price,UOM,Category
Snack Stick Original Meat Twin,10073608032626,75/1 oz,$58.48,CS,Meat Snacks
Snack Sticks Beef Box,10073608030516,2/26/.8 oz,$40.81/$20.41,CS/BX,Meat Snacks
Snack Sticks Honey Ham Box,10073608030523,2/26/.8 oz,$37.10,CS,Meat Snacks
Snack Sticks Jalapeno 1oz,70858959005374,6/24/1oz,$197.85/$32.98,CS/BX,Meat Snacks
Snack Sticks Original,10073608032671,2/12/3.5 oz,$48.93,CS,Meat Snacks
Snack Sticks Smkhs Orig 1oz,70858959005367,6/24/1oz.,$197.85/$32.98,CS/BX,Meat Snacks
Snack Sticks Turkey Crkd Peppr,10073608031643,2/26/.8 oz,$40.81/$20.41,CS/BX,Meat Snacks
SNK - Couger Classic Beef Stick,,2/24,$72.00/$1.50,Case/Each,
STEAK BEEF CUBED UNBRD RAW,00074865310888,40/4 OZ,$58.34,CS,STEAKS
Steak Beef Original,10017082000443,56/.8 oz,$69.21,CS,Meat Snacks
Steak Beef Original,00017082020277,6/12/1 oz,$129.62/$21.60,CS/BX,Meat Snacks
STEAK BEEF PHILLY,00706073780404,1/60 PC,$109.27,CS,MISC
Steak Beef Teriyaki,10017082000436,56/.8 oz,$69.21,CS,Meat Snacks
Steak Beef Teriyaki,00017082020307,6/12/1 oz,$129.62/$21.60,CS/BX,Meat Snacks
Steak Bites Original Bites,00028400725798,6/10/1.75 oz,$229.54/$38.26,CS/BX,Meat Snacks
STEAK CHUCK FLAT IRON,90734730554207,24/8 OZ,$17.94,CS,PREM OTHER STKS
STEAK FILET C\C,90734730317789,28/6 OZ,$45.93,CS,PREM TNDR STKS
STEAK FILET C\C BULK,00734730322810,28/6 OZ,$46.87,CS,PREM TNDR STKS
Stick Beef   Pork Cheddar,10073608032862,75/1 oz,$58.48,CS,Meat Snacks
Stick Beef Pepperoni Standup,10017082889703,6/24/1.84 oz,$337.70,CS,Meat Snacks
Stick Snack Honey BBQ,00824106509218,12/20/1.0 oz,$255.83,CS,Meat Snacks
Stick Snack Hot,00824106506132,12/20/1.0 oz,$255.83,CS,Meat Snacks
Stick Snack Original,00824106500123,12/20/1.0 oz,$255.83,CS,Meat Snacks
Stick Snack Teriyaki,00824106500321,12/20/1.0 oz,$255.83,CS,Meat Snacks
Stick Wild Original Standup,10017082879797,6/20/1 oz,$159.19/$26.53,CS/BX,Meat Snacks
Stick Wild Original Standup,10017082879858,6/24/2.2 oz,$337.70/$56.28,CS/BX,Meat Snacks
Sticks Beef Cheese AllAmer Cmb,00017082010391,12/16/1.2 oz,$270.62/$22.55,CS/BX,Meat Snacks
Sticks Beef Cheese AllAmer Cmb,00017082011398,6/16/1.2 oz,$135.31/$22.55,CS/BX,Meat Snacks
Sticks Meat Snack Sriracha,10073608033708,2/26/.8 oz,$40.81/$20.41,CS/BX,Meat Snacks
Sticks Meat Snacks Teriyaki,10073608032664,24/3.5 oz,$53.82,CS,Meat Snacks
Sweet N Spicy Jerky,10047500020746,24/1.25 oz,$49.46,CS,Meat Snacks
TURKEY BRGR SAVRY WHT RTC,90022655923940,40/4 OZ,$40.06,CS,RAW MISC
TURKEY BRST DELI SMKD SHAVING,90022655913095,2/10#AVG,$4.18,CS,MISC.
TURKEY BRST FRCH CUT RTC,90022655951929,4/8#AVG,$4.73,CS,RAW MISC
TURKEY BRST NAT RSTD GOLD,90022655910117,2/8#AVG,$5.78,CS,PKD TKY BRS AMH
TURKEY BRST RST PET RTC,90022655901313,6/5#AVG,$5.33,CS,RAW MISC
TURKEY BRST SMK SLICE,90022655941036,12/1LBS,$70.89,CS,PKD TKY BR PKR
TURKEY BURGER ALL AM  GRL 5.33,90022655723557,30/5.33OZ,$32.74,CS,FRTHR PRCSD PKR
TURKEY BURGER WHT MEAT,90022655723823,30/5.3 OZ,$35.33,CS,GRND TRKY SYS
