Item Description,UOM,Seq,Pack Type,Price,Last Inventory Qty,Inv Count,Total Price
BLUEBERRY IQF,EA,56,2/5 LB,$19.10,0.00 EA,0.00 EA,$0.00
MANGO CHUNK IQF,CS,57,1/20LB,$67.03,9.00 CS,6.00 CS,$402.18
MANGO CHUNK IQF,EA,57,1/20LB,$67.03,0.00 EA,0.00 EA,$0.00
STRAWBERRY WHL IQF,CS,58,2/5LB,$29.41,2.00 CS,2.00 CS,$58.82
STRAWBERRY WHL IQF,EA,58,2/5LB,$14.71,0.00 EA,0.00 EA,$0.00
TURKEY DICED WHITE IQF 3/8,CS,59,2/5 LB,$33.53,2.00 CS,3.00 CS,$100.59
TURKEY DICED WHITE IQF 3/8,EA,59,2/5 LB,$16.77,0.00 EA,0.00 EA,$0.00
APPLE SLICE IQF GOLDEN DELIC,CS,60,1/40 LB,$44.07,0.00 CS,0.00 CS,$0.00
APPLE SLICE IQF GOLDEN DELIC,EA,60,1/40 LB,$44.07,0.00 EA,0.00 EA,$0.00
CHICKEN CUT 8PC IF RAW,CS,61,1/30 LB,$78.65,0.00 CS,0.00 CS,$0.00
CHICKEN CUT 8PC IF RAW,EA,61,1/30 LB,$78.65,0.00 EA,0.00 EA,$0.00
PORK BOSTON BUTT BNLS VP 2CT,CS,62,4/16#AVG,$2.14,0.00 CS,0.00 CS,$0.00
BEEF FLANK STEAK CH 3PK 6EA,CS,63,3/11#AVG,$9.00,87.50 CS,56.10 CS,$504.90
BEEF CHUCK BNLS 2-PC CH 126A,CS,64,1/70#AVG,,0.00 CS,0.00 CS,$0.00
TURKEY BURGER WHT MEAT,CS,65,30/5.3 OZ,$35.33,0.00 CS,1.00 CS,$35.33
TURKEY BURGER WHT MEAT,EA,65,30/5.3 OZ,$1.18,0.00 EA,0.00 EA,$0.00
BEEF STRIP LOIN BNLS 1X1 SEL,CS,66,3/12.5#,$10.24,175.00 CS,140.00 CS,"$1,433.60"
BEEF GROUND BULK 80/20 4/10#,CS,67,4/10 LB,$220.34,3.00 CS,3.00 CS,$661.02
BEEF GROUND BULK 80/20 4/10#,EA,67,4/10 LB,$55.09,0.00 EA,0.00 EA,$0.00
OKRA CUT IQF,CS,68,12/3 LB,$63.74,1.00 CS,0.50 CS,$31.87
OKRA CUT IQF,EA,68,12/3 LB,$5.31,0.00 EA,0.00 EA,$0.00
PEA & CARROT GR A P,CS,69,12/2.5 LB,$46.16,0.00 CS,0.00 CS,$0.00
PEA & CARROT GR A P,EA,69,12/2.5 LB,$3.85,0.00 EA,0.00 EA,$0.00
CORN WHL KERNEL,CS,70,1/30LB,$40.91,1.00 CS,1.00 CS,$40.91
CORN WHL KERNEL,EA,70,1/30LB,$40.91,0.00 EA,0.00 EA,$0.00
DOUGH COOKIE CHOC CHUNK,CS,71,140/2 OZ,$74.15,0.00 CS,0.00 CS,$0.00
DOUGH COOKIE CHOC CHUNK,EA,71,140/2 OZ,$0.53,0.00 EA,0.00 EA,$0.00
BEEF TOP SIRLOIN BUTT 14UP,CS,72,5/14#AV,$7.22,135.00 CS,120.00 CS,$866.40
BANANA SLICE IQF CHEF RDY CUT,CS,73,2/5 LB,$20.63,6.00 CS,2.00 CS,$41.26
BANANA SLICE IQF CHEF RDY CUT,EA,73,2/5 LB,$10.32,0.00 EA,0.00 EA,$0.00
CATFISH FIL SHANK 3-5 OZ USA,CS,74,1/15LB,$87.19,0.00 CS,0.00 CS,$0.00
CATFISH FIL SHANK 3-5 OZ USA,EA,74,1/15LB,$87.19,0.00 EA,0.00 EA,$0.00
SWAI FIL BNLS SKLS 5-7 OZ,CS,75,1/15 LB,$74.56,0.00 CS,0.00 CS,$0.00
SWAI FIL BNLS SKLS 5-7 OZ,EA,75,1/15 LB,$74.56,0.00 EA,0.00 EA,$0.00
CHICKEN MEAT DICE WHT LSOD,CS,76,2/5LB,$53.34,0.00 CS,0.00 CS,$0.00
CHICKEN MEAT DICE WHT LSOD,EA,76,2/5LB,$26.67,0.00 EA,0.00 EA,$0.00
MEATBALL ITAL BF PK FC 1 OZ,CS,77,2/5 LB,$62.80,5.00 CS,3.00 CS,$188.40
MEATBALL ITAL BF PK FC 1 OZ,EA,77,2/5 LB,$31.40,0.00 EA,0.00 EA,$0.00
MEATBALL TURKEY COOKED,CS,78,2/5LB,$32.52,0.00 CS,0.00 CS,$0.00
MEATBALL TURKEY COOKED,EA,78,2/5LB,$16.26,0.00 EA,0.00 EA,$0.00
PORK CKD PASTOR,CS,79,2/5 LB,$5.39,20.00 CS,10.00 CS,$53.90
PEPPERONI SLICED PORK&BF14-16C,CS,80,1/10LB,$50.79,0.00 CS,0.00 CS,$0.00
PEPPERONI SLICED PORK&BF14-16C,EA,80,1/10LB,$50.79,0.00 EA,0.00 EA,$0.00
beef sliders 1.7 oz,cs,81,188 each,$79.81,5.00 cs,0.00 cs,$0.00
beef sliders 1.7 oz,EA,81,188 each,$79.81,0.00 EA,0.00 EA,$0.00
chicken breast filet 5 oz portions,lb,82,1/20#,$6.48,0.00 lb,0.00 lb,$0.00
BURGER VEG BEYOND PATTY,CS,83,40/4OZ,$91.20,2.00 CS,2.00 CS,$182.40
BURGER VEG BEYOND PATTY,EA,83,40/4OZ,$2.28,0.00 EA,0.00 EA,$0.00
SAUSAGE CHORIZO VEGAN BULK,CS,84,2/5 LB,$67.66,0.00 CS,0.00 CS,$0.00
SAUSAGE CHORIZO VEGAN BULK,EA,84,2/5 LB,$33.83,0.00 EA,0.00 EA,$0.00
NOODLE YAKISOBA,CS,85,6/5 LB,$61.65,3.00 CS,3.00 CS,$184.95
NOODLE YAKISOBA,EA,85,6/5 LB,$10.28,0.00 EA,0.00 EA,$0.00
CHICKEN WING IF 1&2 JT,CS,86,6/5 LB,$81.02,0.00 CS,0.00 CS,$0.00
CHICKEN WING IF 1&2 JT,EA,86,6/5 LB,$13.50,0.00 EA,0.00 EA,$0.00
CHURRO PRFRD MEXICAN PASTRY,CS,87,"100/16""",$88.96,2.00 CS,2.00 CS,$177.92
CHURRO PRFRD MEXICAN PASTRY,EA,87,"100/16""",$0.89,0.00 EA,0.00 EA,$0.00
SAUSAGE SMKD ON STK 9 3X1,CS,88,1/10LB,$54.04,0.00 CS,0.00 CS,$0.00
SAUSAGE SMKD ON STK 9 3X1,EA,88,1/10LB,$54.04,0.00 EA,0.00 EA,$0.00
TURKEY DRUMSTICK SMO 22/29 OZ,CS,89,1/35 LB,$5.29,0.00 CS,105.00 CS,$555.45
CAKE LOAF PULLMAN SLI VAR  #9,CS,90,4/18 SLI,$103.97,0.00 CS,0.00 CS,$0.00
CAKE LOAF PULLMAN SLI VAR  #9,EA,90,4/18 SLI,$25.99,0.00 EA,0.00 EA,$0.00
CANDIED APPLE PORK BELLY,CS,91,200 / 0.80 OZ,$312.17,1.00 CS,1.00 CS,$312.17
CANDIED APPLE PORK BELLY,EA,91,200 / 0.80 OZ,$1.56,0.00 EA,0.00 EA,$0.00
PORK CARNITAS MEAT PRCK CAFE H,CS,92,6/5#AVG,$4.57,61.00 CS,15.00 CS,$68.55
ENCHILADA CHEESE 1.63 OZ,CS,93,90/1.63OZ,$29.22,2.00 CS,2.00 CS,$58.44
ENCHILADA CHEESE 1.63 OZ,EA,93,90/1.63OZ,$0.32,0.00 EA,0.00 EA,$0.00
SOUP POTATO BKD STFD,CS,94,4/8 LB,$79.30,0.50 CS,0.00 CS,$0.00
SOUP POTATO BKD STFD,EA,94,4/8 LB,$19.83,0.00 EA,0.00 EA,$0.00
POTATO REDSKIN FLM RSTD & VEGS,CS,95,6/2.5 LB,$32.07,5.00 CS,5.00 CS,$160.35
POTATO REDSKIN FLM RSTD & VEGS,EA,95,6/2.5 LB,$5.34,0.00 EA,0.00 EA,$0.00
SOUP BROCCOLI CHEESE,CS,96,4/8 LB,$78.07,3.50 CS,3.50 CS,$273.25
SOUP BROCCOLI CHEESE,EA,96,4/8 LB,$19.52,0.00 EA,0.00 EA,$0.00
DOUGH DANISH MINI SELECTION,CS,97,120/1.5 OZ,$49.16,4.00 CS,4.00 CS,$196.64
DOUGH DANISH MINI SELECTION,EA,97,120/1.5 OZ,$0.41,0.00 EA,0.00 EA,$0.00
OKRA BRD HVY,CS,98,4/5LB,$32.90,0.00 CS,1.00 CS,$32.90
OKRA BRD HVY,EA,98,4/5LB,$8.22,0.00 EA,0.00 EA,$0.00
BLACKBERRY IQF,CS,99,2/5 LB,$46.40,6.00 CS,5.00 CS,$232.00
BLACKBERRY IQF,EA,99,2/5 LB,$23.20,0.00 EA,0.00 EA,$0.00
APTZR BEEF DLX WELLINGTON,CS,100,4/25 CT,$148.63,2.00 CS,2.00 CS,$297.26
APTZR BEEF DLX WELLINGTON,EA,100,4/25 CT,$37.16,0.00 EA,0.00 EA,$0.00
DIP SPINACH ARTICHOKE FRZN,CS,101,4/64 OZ,$52.21,5.00 CS,4.00 CS,$208.84
DIP SPINACH ARTICHOKE FRZN,EA,101,4/64 OZ,$13.05,0.00 EA,0.00 EA,$0.00
GUACAMOLE WESTERN,CS,102,6/3 LB,$72.85,3.00 CS,2.00 CS,$145.70
GUACAMOLE WESTERN,EA,102,6/3 LB,$12.14,0.00 EA,0.00 EA,$0.00
STRAWBERRY SLICED IQF CHEF RC,CS,103,2/5 LB,$34.20,6.00 CS,0.00 CS,$0.00
STRAWBERRY SLICED IQF CHEF RC,EA,103,2/5 LB,$17.10,0.00 EA,0.00 EA,$0.00
DOUGH ROLL CINNAMON CN LBL,CS,104,120/2.5 OZ,$38.79,1.50 CS,0.00 CS,$0.00
DOUGH ROLL CINNAMON CN LBL,EA,104,120/2.5 OZ,$0.32,0.00 EA,0.00 EA,$0.00
BEEF BRISKET BBQ SMK WHL,CS,105,2/7#AVG,$12.16,14.00 CS,0.00 CS,$0.00
BEEF BRISKET SLI,CS,106,2/7#AVG,$13.05,84.00 CS,14.00 CS,$182.70
BEEF BRISKET SMOKED CHOPPED,CS,107,2/5LB,$128.53,0.00 CS,0.00 CS,$0.00
BEEF BRISKET SMOKED CHOPPED,EA,107,2/5LB,$64.27,0.00 EA,0.00 EA,$0.00
CHICKEN BRST IFZ MARN NAE 5OZ,CS,108,4/5 LB,$86.42,1.25 CS,1.00 CS,$86.42
CHICKEN BRST IFZ MARN NAE 5OZ,EA,108,4/5 LB,$21.61,0.00 EA,0.00 EA,$0.00
CHICKEN TENDER HOMESTYL BRD FC,CS,109,1/20 LB,$67.28,0.00 CS,0.00 CS,$0.00
CHICKEN TENDER HOMESTYL BRD FC,EA,109,1/20 LB,$67.28,0.00 EA,0.00 EA,$0.00
CHICKEN WING STINGER PRCKD 1&2,CS,110,3/5 LB,$59.75,15.00 CS,12.00 CS,$717.00
CHICKEN WING STINGER PRCKD 1&2,EA,110,3/5 LB,$19.92,0.00 EA,0.00 EA,$0.00
CHICKEN WING STMD JBO 1&2 JNT,CS,111,2/5 LB,$41.07,3.50 CS,6.00 CS,$246.42
CHICKEN WING STMD JBO 1&2 JNT,EA,111,2/5 LB,$20.54,0.00 EA,0.00 EA,$0.00
EGGROLL PORK & VEG 3 OZ BULK,CS,112,1/72CT,$51.97,11.00 CS,10.00 CS,$519.70
EGGROLL PORK & VEG 3 OZ BULK,EA,112,1/72CT,$51.97,0.00 EA,0.00 EA,$0.00
HAM PIT BNLS W/A FC GHP,CS,113,2/12#AVG,$4.29,104.30 CS,104.30 CS,$447.45
